signal,gamma,is_short,lb,hz,th,dist_field,dist_bin,n,mfe_p50,mae_p50,mfe_mae,pct_mfe_02,pct_mae_02
G-做空,negative,True,5,5,0.0005,距Support,near,500,0.0006224072919458156,-0.0005891595756519258,1.056432446603452,0.072,0.082
G-做空,negative,True,5,5,0.0005,距Support,medium,654,0.0005575232554477503,-0.0006385022375875722,0.8731735342920933,0.05198776758409786,0.0581039755351682
G-做空,negative,True,5,5,0.0005,距Support,far,495,0.0005896953742008383,-0.0006357053520477373,0.9276237368480674,0.06060606060606061,0.10707070707070707
G-做空,negative,True,5,5,0.001,距Support,near,253,0.0006592714900878193,-0.000658473631724025,1.0012116785325258,0.09881422924901186,0.12648221343873517
G-做空,negative,True,5,5,0.001,距Support,medium,317,0.0005853891102536937,-0.000715714745707558,0.817908410808242,0.07886435331230283,0.06624605678233439
G-做空,negative,True,5,5,0.001,距Support,far,258,0.0006839103358073856,-0.0006772852788455297,1.0097817820182784,0.09689922480620156,0.13565891472868216
G-做空,negative,True,5,5,0.0015,距Support,near,131,0.0006864427555772805,-0.0008051832167370825,0.85252988550732,0.10687022900763359,0.15267175572519084
G-做空,negative,True,5,5,0.0015,距Support,medium,146,0.000654797445671116,-0.0007401568580664706,0.8846738884263791,0.10273972602739725,0.10273972602739725
G-做空,negative,True,5,5,0.0015,距Support,far,129,0.0008339149864908882,-0.0008389733519568487,0.9939707674216801,0.10077519379844961,0.1937984496124031
G-做空,negative,True,5,5,0.002,距Support,near,61,0.0006864427555772805,-0.0007702129046209543,0.8912376713749043,0.11475409836065574,0.19672131147540983
G-做空,negative,True,5,5,0.002,距Support,medium,64,0.0007648409407682126,-0.0008789980997606415,0.8701280935379555,0.171875,0.15625
G-做空,negative,True,5,5,0.002,距Support,far,62,0.0008539939609465518,-0.0012172989179501385,0.7015482790247021,0.04838709677419355,0.25806451612903225
G-做空,negative,True,5,10,0.0005,距Support,near,500,0.0008672044782739613,-0.0009079429118517572,0.9551310627066745,0.172,0.184
G-做空,negative,True,5,10,0.0005,距Support,medium,654,0.0008408047460791693,-0.0008900607022045681,0.9446600035217845,0.1529051987767584,0.1651376146788991
G-做空,negative,True,5,10,0.0005,距Support,far,495,0.0009101646838429997,-0.0009330884344130293,0.975432392338621,0.17575757575757575,0.1919191919191919
G-做空,negative,True,5,10,0.001,距Support,near,253,0.000986556307477693,-0.0010594498907024082,0.9311967617681407,0.2015810276679842,0.2608695652173913
G-做空,negative,True,5,10,0.001,距Support,medium,317,0.0008378954630020744,-0.0010416682369576435,0.8043784318981255,0.167192429022082,0.17981072555205047
G-做空,negative,True,5,10,0.001,距Support,far,258,0.001098433181033077,-0.0010058706143115102,1.0920223390608972,0.2558139534883721,0.22868217054263565
G-做空,negative,True,5,10,0.0015,距Support,near,131,0.0010217696161255439,-0.0012469651179889333,0.8194051312144338,0.21374045801526717,0.32061068702290074
G-做空,negative,True,5,10,0.0015,距Support,medium,146,0.000913340797355013,-0.0009413369859891511,0.9702591218120258,0.19863013698630136,0.2465753424657534
