signal,gamma,is_short,lb,hz,th,move_ratio,dist_field,dist_bin,n,mfe_p50,mae_p50,mfe_mae,pct_mfe_02,pct_mae_02,recommended_tp,recommended_sl,best_tp,best_sl,best_expected,best_p_tp,best_p_sl
G-做空,negative,True,10,15,0.001,<30%,距Support,near,79,0.0010452719219691431,-0.0009232563654723761,1.1321578285943783,0.17721518987341772,0.24050632911392406,0.0010452719219691431,0.0018767313671480645,0.001,0.003,-5.858614561284799e-05,0.4177215189873418,0.0759493670886076
G-做空,negative,True,10,15,0.001,<30%,距Support,medium,150,0.0007429658718613528,-0.0013453299498821592,0.5522555057414956,0.14666666666666667,0.3466666666666667,0.0007429658718613528,0.0024116771536948256,0.003,0.003,-0.00026491728241566956,0.03333333333333333,0.12666666666666668
G-做空,negative,True,10,15,0.001,<30%,距Support,far,27,0.0008139426418682247,-0.0009471747131412631,0.8593373857805175,0.18518518518518517,0.14814814814814814,0.0008139426418682247,0.0014694345155438179,0.0015,0.0025,0.00010056201165505128,0.25925925925925924,0.0
G-做空,negative,True,10,15,0.001,<30%,距HedgeWall,near,21,0.0010419540600986562,-0.002183033631701398,0.4772963847041537,0.0,0.5238095238095238,0.0010419540600986562,0.0033166425011594107,0.001,0.0025,-0.0009441249042984959,0.3333333333333333,0.42857142857142855
G-做空,negative,True,10,15,0.001,<30%,距HedgeWall,medium,49,0.0008669287121342126,-0.0014075123212480985,0.6159297499900189,0.20408163265306123,0.3877551020408163,0.0008669287121342126,0.0030402577268180183,0.003,0.002,-0.00022637360916813603,0.08163265306122448,0.3469387755102041
G-做空,negative,True,10,15,0.001,<30%,距HedgeWall,far,367,0.0011682802488335508,-0.0011852566816759663,0.9856769988266081,0.26430517711171664,0.2970027247956403,0.0011682802488335508,0.002197176423765038,0.002,0.004,0.00011131343833517302,0.22070844686648503,0.027247956403269755
G-做空,negative,True,10,15,0.001,30-50%,距Support,near,35,0.0008125443532706637,-0.0012735031925813077,0.6380387249942338,0.22857142857142856,0.34285714285714286,0.0008125443532706637,0.0031358509083352186,0.003,0.002,-0.0004016036180359625,0.14285714285714285,0.34285714285714286
G-做空,negative,True,10,15,0.001,30-50%,距Support,medium,124,0.0010556667931221082,-0.0009962839600701754,1.0596043251040095,0.21774193548387097,0.16129032258064516,0.0010556667931221082,0.0016078179777267738,0.002,0.002,0.00019301759174143713,0.20161290322580644,0.1532258064516129
G-做空,negative,True,10,15,0.001,30-50%,距Support,far,10,0.0009035432153671776,-0.001698838103566832,0.531859518261407,0.0,0.4,0.0009035432153671776,0.002346318746442574,0.001,0.002,-0.0007737545186214296,0.3,0.3
G-做空,negative,True,10,15,0.001,30-50%,距HedgeWall,near,46,0.0008995188230780099,-0.0015865932681151072,0.5669498548589265,0.13043478260869565,0.2391304347826087,0.0008995188230780099,0.0019076204213228291,0.003,0.002,-0.00021709266165711332,0.10869565217391304,0.21739130434782608
G-做空,negative,True,10,15,0.001,30-50%,距HedgeWall,medium,44,0.0015790457281479034,-0.0005581493330950454,2.829073931508242,0.4090909090909091,0.0,0.0015790457281479034,0.0009999694466892323,0.003,0.002,0.0008509446460608684,0.11363636363636363,0.0
G-做空,negative,True,10,15,0.001,30-50%,距HedgeWall,far,79,0.0008283401598799383,-0.001335618959479263,0.6201919746653606,0.13924050632911392,0.31645569620253167,0.0008283401598799383,0.0031975235944801807,0.002,0.002,-0.00024150622291985825,0.12658227848101267,0.2911392405063291
G-做空,negative,True,10,15,0.001,50-70%,距Support,near,55,0.0016262838590952791,-0.0008361426740582127,1.9449836846648692,0.34545454545454546,0.2545454545454545,0.0016262838590952791,0.0018596061606826206,0.0025,0.002,0.0005338587829904738,0.23636363636363636,0.23636363636363636
G-做空,negative,True,10,15,0.001,50-70%,距Support,medium,11,0.0016432246327197433,-0.0006337107399872125,2.5930200153352327,0.45454545454545453,0.18181818181818182,0.0016432246327197433,0.0015246647723391746,0.002,0.0035,0.0008654502197195988,0.36363636363636365,0.0
G-做空,negative,True,10,15,0.001,50-70%,距Support,far,29,0.0009499327763225931,-0.0006911639200414043,1.374395781923465,0.06896551724137931,0.2413793103448276,0.0009499327763225931,0.0018169385562176637,0.002,0.002,0.00011175393458538979,0.034482758620689655,0.20689655172413793
G-做空,negative,True,10,15,0.001,50-70%,距HedgeWall,near,24,0.0010199591189813185,-0.0011477197898312908,0.8886830461738814,0.125,0.125,0.0010199591189813185,0.0014270433918108449,0.003,0.0035,0.00041728287179019054,0.0,0.0
G-做空,negative,True,10,15,0.001,50-70%,距HedgeWall,medium,25,0.0016233961447348125,-0.00023153264084024754,7.011521739843672,0.28,0.04,0.0016233961447348125,0.0006337107399872125,0.003,0.002,0.0009800156585415363,0.12,0.04
G-做空,negative,True,10,15,0.001,50-70%,距HedgeWall,far,46,0.0016451758528438184,-0.0012282156918926078,1.3394844763045648,0.34782608695652173,0.41304347826086957,0.0016451758528438184,0.002744125695858952,0.0025,0.002,0.00015663441177515115,0.15217391304347827,0.3695652173913043
G-做空,negative,True,10,15,0.001,70-100%,距Support,near,156,0.0009515637854120519,-0.000902432805122698,1.0544428128171537,0.22435897435897437,0.26282051282051283,0.0009515637854120519,0.0020890332835268866,0.003,0.002,0.000133519967475637,0.14102564102564102,0.24358974358974358
G-做空,negative,True,10,15,0.001,70-100%,距Support,far,28,0.0016043897922829922,-0.00039154848614681435,4.097550747984282,0.42857142857142855,0.21428571428571427,0.0016043897922829922,0.0008737682942538505,0.002,0.002,0.0005297763721037248,0.39285714285714285,0.21428571428571427
G-做空,negative,True,10,15,0.001,70-100%,距HedgeWall,near,38,0.000768134595867167,-0.000732193312849458,1.0490871500558194,0.2631578947368421,0.07894736842105263,0.000768134595867167,0.0011534814516122106,0.003,0.002,0.0006775862404003323,0.23684210526315788,0.05263157894736842
G-做空,negative,True,10,15,0.001,70-100%,距HedgeWall,medium,42,0.000879122650593118,-0.0005324289616685935,1.6511548279380064,0.23809523809523808,0.11904761904761904,0.000879122650593118,0.0008472784088922057,0.003,0.002,0.0005023854520033437,0.19047619047619047,0.11904761904761904
G-做空,negative,True,10,15,0.001,70-100%,距HedgeWall,far,105,0.0010676469606942076,-0.001175375512466731,0.9083454175879195,0.26666666666666666,0.37142857142857144,0.0010676469606942076,0.003415856670472132,0.003,0.002,-0.00010178908443693739,0.047619047619047616,0.3523809523809524
G-做空,negative,True,10,15,0.001,>100%,距Support,near,101,0.0010346434350757253,-0.0011717168107863293,0.8830149277976005,0.27722772277227725,0.1782178217821782,0.0010346434350757253,0.0018295480956608938,0.0025,0.0035,0.000196444037254852,0.18811881188118812,0.019801980198019802
G-做空,negative,True,10,15,0.001,>100%,距Support,medium,228,0.0011270103758975226,-0.0010856156135337553,1.0381302201697564,0.25877192982456143,0.2324561403508772,0.0011270103758975226,0.0019579450088986253,0.003,0.0025,0.00023029552696680325,0.16228070175438597,0.11842105263157894
G-做空,negative,True,10,15,0.001,>100%,距Support,far,270,0.001706749457397248,-0.0010538218602600883,1.6195806158130122,0.42962962962962964,0.24444444444444444,0.001706749457397248,0.001956761196448543,0.003,0.0025,0.000672338491958773,0.23703703703703705,0.1111111111111111
G-做空,negative,True,10,15,0.001,>100%,距HedgeWall,near,23,0.0029421248975655843,-0.0011895327091643786,2.473345100053923,0.6521739130434783,0.08695652173913043,0.0029421248975655843,0.001741229118832949,0.003,0.0025,0.0016453936074602134,0.43478260869565216,0.0
G-做空,negative,True,10,15,0.001,>100%,距HedgeWall,medium,127,0.001141080529164954,-0.0008212681574923548,1.3894128473811873,0.30708661417322836,0.2125984251968504,0.001141080529164954,0.0018723952077333997,0.003,0.004,0.0005758721497038413,0.1732283464566929,0.0
G-做空,negative,True,10,15,0.001,>100%,距HedgeWall,far,449,0.0013210903175786357,-0.0011866410388296949,1.1133024009362926,0.33184855233853006,0.24053452115812918,0.0013210903175786357,0.001978184144650328,0.003,0.0025,0.00030840552268571495,0.18040089086859687,0.12249443207126949
G-做空,negative,True,10,15,0.002,<30%,距Support,near,27,0.0010673794624700447,-0.0008225263352066369,1.2976842403494537,0.1111111111111111,0.2222222222222222,0.0010673794624700447,0.0012695938412849374,0.001,0.003,0.0004668157049463998,0.4074074074074074,0.0
G-做空,negative,True,10,15,0.002,<30%,距Support,medium,37,0.0006606195344291537,-0.002049603986167366,0.32231569556247386,0.10810810810810811,0.5135135135135135,0.0006606195344291537,0.0030449070986471875,0.001,0.003,-0.0006086313713373724,0.2972972972972973,0.1891891891891892
G-做空,negative,True,10,15,0.002,<30%,距HedgeWall,medium,23,0.000982798010816826,-0.0014075123212480985,0.6982517992775643,0.08695652173913043,0.43478260869565216,0.000982798010816826,0.003025101619775615,0.001,0.003,-0.00031450724116880644,0.2608695652173913,0.17391304347826086
G-做空,negative,True,10,15,0.002,<30%,距HedgeWall,far,131,0.001465604103691546,-0.0018650102498497763,0.7858423854826525,0.3282442748091603,0.4580152671755725,0.001465604103691546,0.0029429903674474023,0.003,0.004,0.00018457230922332095,0.16793893129770993,0.03816793893129771
G-做空,negative,True,10,15,0.002,30-50%,距Support,near,12,0.0002898956249050297,-0.0037518091913194976,0.07726822184234654,0.25,0.75,0.0002898956249050297,0.004008211384592094,0.002,0.002,-0.0008257714964119038,0.25,0.6666666666666666
G-做空,negative,True,10,15,0.002,30-50%,距Support,medium,28,0.0010943723377187017,-0.0012644012289087314,0.8655261579136736,0.14285714285714285,0.21428571428571427,0.0010943723377187017,0.0017298014005006676,0.0015,0.0025,0.00014172439596982572,0.17857142857142858,0.14285714285714285
G-做空,negative,True,10,15,0.002,30-50%,距HedgeWall,near,11,0.0009021158992646645,-0.0016069116817199155,0.561397312327152,0.09090909090909091,0.2727272727272727,0.0009021158992646645,0.0020350681599124497,0.003,0.0025,0.00028776504156429746,0.09090909090909091,0.09090909090909091
G-做空,negative,True,10,15,0.002,30-50%,距HedgeWall,medium,9,0.0024237825761647875,-0.0009060204315034241,2.6751963773519245,0.5555555555555556,0.0,,,,,,,
G-做空,negative,True,10,15,0.002,30-50%,距HedgeWall,far,20,0.0004819141567554251,-0.003061336580836985,0.1574195270693389,0.05,0.6,0.0004819141567554251,0.004008211384592094,0.001,0.002,-0.0007463637641461296,0.15,0.5
G-做空,negative,True,10,15,0.002,50-70%,距Support,near,20,0.0014237014258077641,-0.0005554942658359862,2.5629453144132412,0.2,0.2,0.0014237014258077641,0.0012879262884665588,0.003,0.0035,0.0007864585963493731,0.1,0.0
G-做空,negative,True,10,15,0.002,50-70%,距Support,medium,5,0.002348031037942611,-0.0003931099631702464,5.9729624225416424,0.8,0.0,,,,,,,
G-做空,negative,True,10,15,0.002,50-70%,距HedgeWall,near,7,0.0012466339394228087,-0.0009058321886276236,1.3762305591188089,0.0,0.0,,,,,,,
G-做空,negative,True,10,15,0.002,50-70%,距HedgeWall,far,17,0.0016432246327197433,-0.0003931099631702464,4.180063561523376,0.35294117647058826,0.23529411764705882,0.0016432246327197433,0.0008361426740582127,0.003,0.0035,0.0008268343092325139,0.11764705882352941,0.0
G-做空,negative,True,10,15,0.002,70-100%,距Support,near,65,0.0010217696161255439,-0.0012572149579765607,0.8127246734083111,0.3076923076923077,0.4,0.0010217696161255439,0.003911794020696557,0.003,0.002,5.387692473607589e-05,0.2,0.38461538461538464
G-做空,negative,True,10,15,0.002,70-100%,距Support,far,17,0.0014151351203774796,-0.0007432113708305669,1.9040816326531878,0.4117647058823529,0.29411764705882354,0.0014151351203774796,0.010174445016505588,0.002,0.002,0.00017263138831253295,0.35294117647058826,0.29411764705882354
G-做空,negative,True,10,15,0.002,70-100%,距HedgeWall,near,12,0.003479147861903102,-0.00050006453364793,6.957397751292222,0.6666666666666666,0.16666666666666666,0.003479147861903102,0.000991212515288138,0.003,0.002,0.001771071051873818,0.5833333333333334,0.08333333333333333
G-做空,negative,True,10,15,0.002,70-100%,距HedgeWall,medium,7,0.0010145165381113988,-0.0008611361923453554,1.1781139233601399,0.42857142857142855,0.14285714285714285,,,,,,,
G-做空,negative,True,10,15,0.002,70-100%,距HedgeWall,far,63,0.0010217696161255439,-0.00152442720329743,0.6702646173693262,0.25396825396825395,0.4444444444444444,0.0010217696161255439,0.004294715772448899,0.002,0.002,-0.0003678273269336064,0.2222222222222222,0.4444444444444444
G-做空,negative,True,10,15,0.002,>100%,距Support,near,49,0.0009576603067814058,-0.0014476822067242628,0.6615127977212263,0.3877551020408163,0.1836734693877551,0.0009576603067814058,0.001829893463872679,0.0025,0.003,0.00023692137246081638,0.2857142857142857,0.061224489795918366
G-做空,negative,True,10,15,0.002,>100%,距Support,medium,86,0.0012601441976486311,-0.001378083203615142,0.9144180803763371,0.27906976744186046,0.27906976744186046,0.0012601441976486311,0.0021963770525821502,0.003,0.003,0.00028737704682190346,0.19767441860465115,0.03488372093023256
G-做空,negative,True,10,15,0.002,>100%,距Support,far,115,0.0018711526119301908,-0.0015584400193176101,1.2006574450966083,0.45217391304347826,0.3739130434782609,0.0018711526119301908,0.0023540762137022435,0.003,0.003,0.0006151932595158151,0.28695652173913044,0.10434782608695652
G-做空,negative,True,10,15,0.002,>100%,距HedgeWall,near,10,0.004561081465709764,-0.0010072631742860181,4.528192414999001,1.0,0.1,0.004561081465709764,0.001614524532542959,0.003,0.002,0.0028378488969353563,0.7,0.0
G-做空,negative,True,10,15,0.002,>100%,距HedgeWall,medium,45,0.00145279254817093,-0.0012544528574815017,1.158108524769615,0.35555555555555557,0.28888888888888886,0.00145279254817093,0.0022458106123607285,0.003,0.003,0.0005845296740384079,0.2222222222222222,0.0
G-做空,negative,True,10,15,0.002,>100%,距HedgeWall,far,195,0.0013608861048835651,-0.0015422644465374945,0.8823947851089105,0.35384615384615387,0.31794871794871793,0.0013608861048835651,0.0022884256639782996,0.003,0.003,0.00023532371255854262,0.21025641025641026,0.09230769230769231
G-做空,negative,True,10,30,0.001,<30%,距Support,near,79,0.0014011384995594816,-0.0027050630031629098,0.5179688968135651,0.25316455696202533,0.6835443037974683,0.0014011384995594816,0.0033411336243034323,0.001,0.003,-0.0002815691081493089,0.5443037974683544,0.21518987341772153
G-做空,negative,True,10,30,0.001,<30%,距Support,medium,150,0.001256424522000928,-0.00221236984399737,0.567908898871441,0.31333333333333335,0.5466666666666666,0.001256424522000928,0.0031649953736949993,0.003,0.003,-9.361991128193031e-05,0.17333333333333334,0.24
G-做空,negative,True,10,30,0.001,<30%,距Support,far,27,0.001482155932822607,-0.0009802506555049684,1.5120172830275598,0.37037037037037035,0.18518518518518517,0.001482155932822607,0.0014694345155438179,0.002,0.003,0.0009320243432750838,0.2962962962962963,0.0
G-做空,negative,True,10,30,0.001,<30%,距HedgeWall,near,21,0.0010822971720764233,-0.0033217858931301135,0.3258178603006157,0.14285714285714285,0.8571428571428571,0.0010822971720764233,0.004500950050834007,0.001,0.002,-0.001,0.3333333333333333,0.6666666666666666
G-做空,negative,True,10,30,0.001,<30%,距HedgeWall,medium,49,0.0015904861112160304,-0.0024193828684722085,0.6573933096502375,0.32653061224489793,0.5918367346938775,0.0015904861112160304,0.0042901839446494675,0.001,0.003,-0.0003085711947630863,0.6122448979591837,0.30612244897959184
G-做空,negative,True,10,30,0.001,<30%,距HedgeWall,far,367,0.0015877175404250962,-0.0019266040905658052,0.8241016139225652,0.4196185286103542,0.48501362397820164,0.0015877175404250962,0.003075231218796234,0.003,0.004,9.863983958966093e-05,0.19346049046321526,0.07084468664850137
G-做空,negative,True,10,30,0.001,30-50%,距Support,near,35,0.0008125443532706637,-0.0026169285096570055,0.31049543396856566,0.2571428571428571,0.6285714285714286,0.0008125443532706637,0.0046181397850872784,0.002,0.002,-0.0003418809535465292,0.22857142857142856,0.42857142857142855
G-做空,negative,True,10,30,0.001,30-50%,距Support,medium,124,0.0017909260446292907,-0.0016237461093256515,1.1029594062418229,0.41935483870967744,0.3467741935483871,0.0017909260446292907,0.002624355979144743,0.002,0.002,0.00015529862616758396,0.33064516129032256,0.2661290322580645
G-做空,negative,True,10,30,0.001,30-50%,距Support,far,10,0.0009035432153671776,-0.002039047545940132,0.44312022893541014,0.1,0.6,0.0009035432153671776,0.0030171897054040546,0.003,0.002,-0.0006670714448786095,0.1,0.4
G-做空,negative,True,10,30,0.001,30-50%,距HedgeWall,near,46,0.0010619489281259585,-0.0019256342282865328,0.5514800851202679,0.30434782608695654,0.45652173913043476,0.0010619489281259585,0.00370011685292816,0.0015,0.002,-0.0001033092528943794,0.43478260869565216,0.30434782608695654
G-做空,negative,True,10,30,0.001,30-50%,距HedgeWall,medium,44,0.0015874294763235763,-0.00098687700294938,1.608538319952117,0.45454545454545453,0.1590909090909091,0.0015874294763235763,0.0018506737655206097,0.003,0.002,0.0007720365402536953,0.29545454545454547,0.13636363636363635
G-做空,negative,True,10,30,0.001,30-50%,距HedgeWall,far,79,0.0011457537670995289,-0.002242292977664205,0.5109741583782953,0.35443037974683544,0.5443037974683544,0.0011457537670995289,0.005458494872925769,0.002,0.002,-0.0002754020254471261,0.27848101265822783,0.4430379746835443
G-做空,negative,True,10,30,0.001,50-70%,距Support,near,55,0.0024555648996375545,-0.001371635067036087,1.7902465157468521,0.5636363636363636,0.38181818181818183,0.0024555648996375545,0.0032309950679050045,0.0025,0.002,0.0006745870291078626,0.45454545454545453,0.2727272727272727
G-做空,negative,True,10,30,0.001,50-70%,距Support,medium,11,0.002348031037942611,-0.0006500358410172777,3.6121562685959665,0.6363636363636364,0.18181818181818182,0.002348031037942611,0.0015246647723391746,0.003,0.0035,0.0016995886746189398,0.18181818181818182,0.0
G-做空,negative,True,10,30,0.001,50-70%,距Support,far,29,0.0012546127679010637,-0.0006911639200414043,1.8152173913040857,0.20689655172413793,0.3103448275862069,0.0012546127679010637,0.0022336066806648556,0.0025,0.002,0.0001475103085431042,0.1724137931034483,0.27586206896551724
G-做空,negative,True,10,30,0.001,50-70%,距HedgeWall,near,24,0.001891229421868165,-0.0013620084636231306,1.3885592288004096,0.4583333333333333,0.16666666666666666,0.001891229421868165,0.0016488761337478096,0.0015,0.0035,0.0008055109806337583,0.625,0.0
G-做空,negative,True,10,30,0.001,50-70%,距HedgeWall,medium,25,0.001703349570028253,-0.0003277855380419612,5.1965366751787565,0.32,0.08,0.001703349570028253,0.0006500358410172777,0.003,0.004,0.001133436860697343,0.16,0.0
