signal,gamma,is_short,lb,hz,th,move_ratio,mr_grade,dist_field,dist_bin,n,mfe_p50,mae_p50,mfe_mae,pct_mfe_02,pct_mae_02,recommended_tp,recommended_sl,best_tp,best_sl,best_expected,best_p_tp,best_p_sl
G-做空,negative,True,10,15,0.0005,<30%,★☆☆观望,距Support,near,109,0.000982798010816826,-0.001153216698816569,0.8522231873899965,0.1559633027522936,0.29357798165137616,0.000982798010816826,0.0021922237246650563,0.001,0.003,-0.0003114386491994294,0.3486238532110092,0.10091743119266056
G-做空,negative,True,10,15,0.0005,<30%,★☆☆观望,距Support,medium,227,0.0008484248283524694,-0.0012100510600428778,0.7011479567832499,0.16740088105726872,0.31277533039647576,0.0008484248283524694,0.0023672891355867387,0.002,0.003,-8.946084264238032e-05,0.15418502202643172,0.10572687224669604
G-做空,negative,True,10,15,0.0005,<30%,★☆☆观望,距Support,far,53,0.0009443552219234388,-0.0008811014062261268,1.0717894844456515,0.20754716981132076,0.1509433962264151,0.0009443552219234388,0.0013349659406867692,0.0015,0.0025,0.0002311632920635809,0.3018867924528302,0.0
G-做空,negative,True,10,15,0.0005,<30%,★☆☆观望,距HedgeWall,near,32,0.0007178523225201433,-0.002276152342232026,0.3153797350032413,0.03125,0.53125,0.0007178523225201433,0.004375743516927098,0.001,0.002,-0.0009740532255885061,0.28125,0.53125
G-做空,negative,True,10,15,0.0005,<30%,★☆☆观望,距HedgeWall,medium,60,0.0008517293364112782,-0.0013799766478355853,0.6172056155784716,0.18333333333333332,0.38333333333333336,0.0008517293364112782,0.0029849395231091548,0.003,0.002,-0.0003085292353240573,0.06666666666666667,0.35
G-做空,negative,True,10,15,0.0005,<30%,★☆☆观望,距HedgeWall,far,547,0.0011817410748708474,-0.0010606225600832495,1.1141956802975144,0.25411334552102377,0.2687385740402194,0.0011817410748708474,0.0020619560989359716,0.002,0.0035,0.00013847908616605715,0.21389396709323583,0.04021937842778794
G-做空,negative,True,10,15,0.0005,30-50%,★☆☆观望,距Support,near,53,0.0008125443532706637,-0.001114904674139529,0.7288016384878612,0.2641509433962264,0.2641509433962264,0.0008125443532706637,0.0021484938022485467,0.003,0.002,-0.00014233381935441225,0.1509433962264151,0.2641509433962264
G-做空,negative,True,10,15,0.0005,30-50%,★☆☆观望,距Support,medium,196,0.001043692268319908,-0.0009962839600701754,1.0475851365170963,0.25,0.17857142857142858,0.001043692268319908,0.0015634572991760625,0.002,0.002,0.00015547712571903067,0.2193877551020408,0.16326530612244897
G-做空,negative,True,10,15,0.0005,30-50%,★☆☆观望,距Support,far,25,0.0005271663382514462,-0.0017054768192120825,0.3091020249076109,0.04,0.4,0.0005271663382514462,0.002301612896100527,0.002,0.002,-0.0007899008782123023,0.04,0.32
G-做空,negative,True,10,15,0.0005,30-50%,★☆☆观望,距HedgeWall,near,87,0.0008750584371216789,-0.0013455904758742812,0.6503155698639441,0.20689655172413793,0.2413793103448276,0.0008750584371216789,0.0019502715396477318,0.003,0.002,-0.00015279695086530164,0.08045977011494253,0.21839080459770116
G-做空,negative,True,10,15,0.0005,30-50%,★☆☆观望,距HedgeWall,medium,66,0.0012048524897957601,-0.0007868363518236726,1.531261852611715,0.3333333333333333,0.030303030303030304,0.0012048524897957601,0.0011397819847169413,0.0025,0.002,0.000556036361097685,0.18181818181818182,0.030303030303030304
G-做空,negative,True,10,15,0.0005,30-50%,★☆☆观望,距HedgeWall,far,121,0.0008283401598799383,-0.0012789033667243777,0.6476956597600838,0.19834710743801653,0.2975206611570248,0.0008283401598799383,0.002338713013467903,0.002,0.002,-9.845267849728989e-05,0.1652892561983471,0.2644628099173554
G-做空,negative,True,10,15,0.0005,50-70%,★★☆可选,距Support,near,93,0.0016507927183004151,-0.0006013070747946517,2.745340588025122,0.3548387096774194,0.23655913978494625,0.0016507927183004151,0.0016542324031404052,0.0025,0.002,0.0005811136110950388,0.25806451612903225,0.20430107526881722
G-做空,negative,True,10,15,0.0005,50-70%,★★☆可选,距Support,medium,38,0.0009990800232232268,-0.0006351905881088809,1.572882284351433,0.21052631578947367,0.15789473684210525,0.0009990800232232268,0.000955057442027185,0.002,0.002,0.0001663208779573298,0.18421052631578946,0.15789473684210525
G-做空,negative,True,10,15,0.0005,50-70%,★★☆可选,距Support,far,76,0.0006095810888099658,-0.0009794777403436656,0.6223531824174834,0.09210526315789473,0.17105263157894737,0.0006095810888099658,0.001794594865465658,0.003,0.002,-0.00016646988596549927,0.02631578947368421,0.11842105263157894
G-做空,negative,True,10,15,0.0005,50-70%,★★☆可选,距HedgeWall,near,75,0.0011282737261352454,-0.0007196736280097249,1.567757497597229,0.2,0.09333333333333334,0.0011282737261352454,0.001225029441305178,0.0025,0.002,0.0003096259610834678,0.13333333333333333,0.09333333333333334
G-做空,negative,True,10,15,0.0005,50-70%,★★☆可选,距HedgeWall,medium,61,0.000608988672810713,-0.0004043562243049056,1.5060697380325323,0.14754098360655737,0.06557377049180328,0.000608988672810713,0.0009666861607525856,0.003,0.002,0.0002975156756763435,0.08196721311475409,0.06557377049180328
