signal,gamma,is_short,lb,hz,th,move_ratio,dist_field,dist_bin,n,mfe_p50,mae_p50,mfe_mae,pct_mfe_02,pct_mae_02,recommended_tp,recommended_sl,best_tp,best_sl,best_expected,best_p_tp,best_p_sl
G+做多,positive,False,30,15,0.001,70-100%,距Support,medium,17,0.008642453548481964,-2.820233841909563e-05,306.44457278869515,0.8235294117647058,0.0,0.008642453548481964,8.176724285306313e-05,0.003,0.002,0.0025479899278661525,0.8235294117647058,0.0
G+做多,positive,False,30,30,0.001,70-100%,距Support,medium,17,0.009107476233300965,-4.758682737130499e-05,191.3864978271866,0.8235294117647058,0.0,0.009107476233300965,0.00011001410856605259,0.003,0.002,0.0025631169813821056,0.8235294117647058,0.0
G+做多,positive,False,15,15,0.001,70-100%,距Support,far,11,0.0023297535511954638,-5.638626371263618e-05,41.317750065311834,0.7272727272727273,0.0,0.0023297535511954638,0.00013284373948700516,0.002,0.002,0.0016069137460131672,0.7272727272727273,0.0
G+做多,positive,False,15,15,0.002,70-100%,距HedgeWall,near,12,0.0016335966609256156,-4.121392649509084e-05,39.63700622216134,0.4166666666666667,0.16666666666666666,0.0016335966609256156,0.0009035322079614155,0.003,0.002,0.0009003979812640848,0.3333333333333333,0.16666666666666666
G-做多,negative,False,30,30,0.002,70-100%,距HedgeWall,near,13,0.0019240532186211704,-7.369606839005543e-05,26.107949320140435,0.38461538461538464,0.07692307692307693,0.0019240532186211704,0.00021504179780962502,0.0025,0.002,0.00155766720383723,0.15384615384615385,0.07692307692307693
G-做多,negative,False,30,15,0.002,70-100%,距HedgeWall,near,13,0.0017081895444377008,-7.369606839005543e-05,23.178842260575795,0.38461538461538464,0.0,0.0017081895444377008,0.00021504179780962502,0.002,0.002,0.0011692529541858072,0.38461538461538464,0.0
G+做多,positive,False,30,15,0.001,70-100%,距Support,far,19,0.002164445300687124,-0.00011531988129350422,18.769055920013713,0.5263157894736842,0.0,0.002164445300687124,0.0002498290888907917,0.002,0.002,0.0016058236776893085,0.47368421052631576,0.0
G+做多,positive,False,10,15,0.001,>100%,距HedgeWall,far,17,0.004277702312728513,-0.00029613507260424607,14.445105320048395,0.8823529411764706,0.0,0.004277702312728513,0.0006103179282372612,0.003,0.002,0.0025854838570404906,0.8235294117647058,0.0
G+做多,positive,False,15,15,0.001,70-100%,距HedgeWall,far,23,0.0023297535511954638,-0.00018537493905987704,12.567791326113081,0.6956521739130435,0.17391304347826086,0.0023297535511954638,0.0012150838989817177,0.002,0.004,0.0015441557042434996,0.6956521739130435,0.0
G-做空,negative,True,15,30,0.002,70-100%,距HedgeWall,near,15,0.005769508366313393,-0.0004692477297134281,12.295229152918568,0.6666666666666666,0.26666666666666666,0.005769508366313393,0.0015906320074117646,0.003,0.0025,0.0016330591404063888,0.6666666666666666,0.0
G-做空,negative,True,10,30,0.002,70-100%,距HedgeWall,near,12,0.005667081441992842,-0.00050006453364793,11.332700203015687,0.6666666666666666,0.3333333333333333,0.005667081441992842,0.0021443465382983322,0.003,0.002,0.0014726330008506172,0.6666666666666666,0.16666666666666666
G+做多,positive,False,30,15,0.002,>100%,距HedgeWall,far,12,0.004165418208288363,-0.0003751857411365299,11.10228282042459,1.0,0.0,0.004165418208288363,0.0008301702622391814,0.003,0.002,0.0028943595917365126,0.9166666666666666,0.0
G-做多,negative,False,30,15,0.002,<30%,距Support,near,23,0.001716095768727663,-0.00016345037691958502,10.499185141506004,0.34782608695652173,0.0,0.001716095768727663,0.00046490955441936275,0.002,0.002,0.0013999788507867103,0.34782608695652173,0.0
G-做多,negative,False,10,15,0.001,70-100%,距HedgeWall,near,15,0.001479492136161396,-0.00015305433428873798,9.66645043432958,0.3333333333333333,0.13333333333333333,0.001479492136161396,0.0006395177889232295,0.002,0.002,0.0004402080663271333,0.3333333333333333,0.13333333333333333
G+做多,positive,False,10,30,0.001,>100%,距HedgeWall,far,17,0.004334790409822772,-0.00045507119968143424,9.5255213093188,0.8823529411764706,0.11764705882352941,0.004334790409822772,0.001013287922482851,0.003,0.002,0.0024664338437886987,0.8235294117647058,0.0
G+做多,positive,False,30,30,0.002,>100%,距HedgeWall,far,12,0.00423978634560866,-0.000454653804675124,9.325307084229129,1.0,0.08333333333333333,0.00423978634560866,0.0010970080746793296,0.003,0.002,0.002782753856948619,0.9166666666666666,0.0
G+做多,positive,False,15,15,0.002,>100%,距HedgeWall,far,12,0.004165418208288363,-0.000454653804675124,9.161736172569348,1.0,0.0,0.004165418208288363,0.0008301702622391814,0.003,0.002,0.003,1.0,0.0
G+做多,positive,False,15,15,0.001,>100%,距HedgeWall,far,15,0.0038673510247170324,-0.00042399138971326803,9.121296136066347,0.8,0.0,0.0038673510247170324,0.0006867023198849661,0.003,0.002,0.0023630327509247,0.8,0.0
G-做多,negative,False,15,15,0.001,<30%,距Support,near,31,0.0016951689951927422,-0.00019215551584670637,8.82185966779677,0.3548387096774194,0.16129032258064516,0.0016951689951927422,0.0005755480281130265,0.003,0.002,0.0009500412221639781,0.06451612903225806,0.16129032258064516
G+做空,positive,True,15,15,0.002,30-50%,距HedgeWall,medium,22,0.0019925017846948497,-0.0002283747626384288,8.724702159184949,0.5,0.0,0.0019925017846948497,0.0005396693826753207,0.002,0.002,0.0009342798131305978,0.3181818181818182,0.0
G+做多,positive,False,30,15,0.001,70-100%,距HedgeWall,far,51,0.0023297535511954638,-0.0002721444839805702,8.560723028881222,0.6078431372549019,0.09803921568627451,0.0023297535511954638,0.0011691395200246822,0.003,0.004,0.0015683571491162806,0.27450980392156865,0.0
G-做多,negative,False,15,30,0.002,<30%,距Support,near,13,0.002181285718175476,-0.0002589865296713804,8.422390619864434,0.5384615384615384,0.0,0.002181285718175476,0.0005696998271256357,0.0025,0.002,0.0014291343427824384,0.38461538461538464,0.0
