date,strategy_name,direction,gamma_env,entry_time,entry_price,exit_time,exit_price,exit_reason,take_profit,stop_loss,pnl_pct,pnl_points,move_ratio,mr_grade
2025-10-14,G-做多_optimal,LONG,negative,2025-10-14 12:35:00,6663.41,2025-10-14 12:50:00,6676.74,take_profit,0.20%,0.20%,0.2,13.33,70.0,★★★推荐
2025-10-14,G-做多_optimal,LONG,negative,2025-10-14 13:00:00,6667.91,2025-10-14 14:15:00,6673.69,timeout,0.20%,0.20%,0.0867,5.78,75.2,★★★推荐
2025-10-14,G-做多_optimal,LONG,negative,2025-10-14 13:30:00,6669.19,2025-10-14 14:45:00,6672.39,timeout,0.20%,0.20%,0.048,3.2,76.7,★★★推荐
2025-10-14,G-做多_optimal,LONG,negative,2025-10-14 14:35:00,6668.92,2025-10-14 15:35:00,6655.58,stop_loss,0.20%,0.20%,-0.2,-13.34,76.4,★★★推荐
2025-10-20,G+做空_optimal,SHORT,positive,2025-10-20 10:00:00,6715.26,2025-10-20 10:40:00,6728.69,stop_loss,0.20%,0.20%,-0.2,-13.43,30.4,★☆☆观望
2025-10-20,G+做空_optimal,SHORT,positive,2025-10-20 10:25:00,6725.06,2025-10-20 11:40:00,6730.1,timeout,0.20%,0.20%,-0.0749,-5.04,42.2,★☆☆观望
2025-10-20,G+做空_optimal,SHORT,positive,2025-10-20 11:10:00,6725.17,2025-10-20 12:25:00,6729.78,timeout,0.20%,0.20%,-0.0685,-4.61,42.3,★☆☆观望
2025-10-23,G+做空_optimal,SHORT,positive,2025-10-23 12:30:00,6730.0,2025-10-23 13:35:00,6743.46,stop_loss,0.20%,0.20%,-0.2,-13.46,30.7,★☆☆观望
2025-10-23,G+做空_optimal,SHORT,positive,2025-10-23 12:55:00,6736.3,2025-10-23 14:10:00,6744.45,timeout,0.20%,0.20%,-0.121,-8.15,38.1,★☆☆观望
2025-10-31,G+做空_optimal,SHORT,positive,2025-10-31 10:00:00,6847.49,2025-10-31 10:35:00,6861.18,stop_loss,0.20%,0.20%,-0.2,-13.69,36.0,★☆☆观望
2025-10-31,G-做空_optimal,SHORT,negative,2025-10-31 13:15:00,6816.56,2025-10-31 13:50:00,6833.6,stop_loss,0.30%,0.25%,-0.25,-17.04,71.2,★★★推荐
2025-10-31,G+做空_optimal,SHORT,positive,2025-10-31 14:35:00,6845.76,2025-10-31 15:25:00,6859.45,stop_loss,0.20%,0.20%,-0.2,-13.69,38.0,★☆☆观望
2025-10-31,G+做空_optimal,SHORT,positive,2025-10-31 15:00:00,6846.59,2025-10-31 15:25:00,6860.28,stop_loss,0.20%,0.20%,-0.2,-13.69,37.0,★☆☆观望
2025-11-03,G+做空_optimal,SHORT,positive,2025-11-03 11:40:00,6849.22,2025-11-03 12:55:00,6859.91,timeout,0.20%,0.20%,-0.1561,-10.69,38.2,★☆☆观望
2025-11-11,G+做空_optimal,SHORT,positive,2025-11-11 13:05:00,6841.81,2025-11-11 14:20:00,6849.99,timeout,0.20%,0.20%,-0.1196,-8.18,30.5,★☆☆观望
2025-11-14,G-做多_optimal,LONG,negative,2025-11-14 11:25:00,6761.74,2025-11-14 12:40:00,6765.44,timeout,0.20%,0.20%,0.0547,3.7,108.3,★★★推荐
2025-11-14,G-做多_optimal,LONG,negative,2025-11-14 11:50:00,6763.27,2025-11-14 12:50:00,6749.74,stop_loss,0.20%,0.20%,-0.2,-13.53,110.1,★★★推荐
2025-11-14,G-做多_optimal,LONG,negative,2025-11-14 12:15:00,6770.47,2025-11-14 12:45:00,6756.93,stop_loss,0.20%,0.20%,-0.2,-13.54,118.8,★★★推荐
2025-11-14,G-做多_optimal,LONG,negative,2025-11-14 12:40:00,6765.44,2025-11-14 12:50:00,6751.91,stop_loss,0.20%,0.20%,-0.2,-13.53,112.8,★★★推荐
2025-11-14,G-做多_optimal,LONG,negative,2025-11-14 13:10:00,6760.29,2025-11-14 13:20:00,6746.77,stop_loss,0.20%,0.20%,-0.2,-13.52,106.5,★★★推荐
2025-11-25,G+做空_optimal,SHORT,positive,2025-11-25 11:40:00,6725.68,2025-11-25 12:05:00,6739.13,stop_loss,0.20%,0.20%,-0.2,-13.45,32.4,★☆☆观望
2025-12-01,G+做空_optimal,SHORT,positive,2025-12-01 12:40:00,6838.98,2025-12-01 13:55:00,6842.51,timeout,0.20%,0.20%,-0.0516,-3.53,30.6,★☆☆观望
